"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"I'm at Carrefour in Goiânia, GO https://t.co/2AABWlEsKU",FALSE,0,NA,2019-05-04 15:23:37,FALSE,NA,"1124696085581185024",NA,"<a href=""http://foursquare.com"" rel=""nofollow"">Foursquare</a>","LeoVieira33",0,FALSE,FALSE,"-49.23347587","-16.71091676"
"@LaylaLestrange Carrefour. Why would you want this? 🤮",FALSE,0,"LaylaLestrange",2019-05-04 15:20:30,FALSE,"1124695101702332416","1124695300680105989","164734151","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","_wangwe",0,FALSE,FALSE,NA,NA
"RT @NorbertElekes: World’s largest retailers vs. Amazon

Sainsbury's
Metro Group
Carrefour
Best Buy
Kroger
H&amp;M
Wesfarmers
Ahold Del
Seven &amp;…",FALSE,0,NA,2019-05-04 15:19:11,FALSE,NA,"1124694968793100290",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","_venky23",287,TRUE,FALSE,NA,NA
"RT @NorbertElekes: World’s largest retailers vs. Amazon

Sainsbury's
Metro Group
Carrefour
Best Buy
Kroger
H&amp;M
Wesfarmers
Ahold Del
Seven &amp;…",FALSE,0,NA,2019-05-04 15:17:21,FALSE,NA,"1124694508665393152",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SayyRayy",287,TRUE,FALSE,NA,NA
"RT @NorbertElekes: World’s largest retailers vs. Amazon

Sainsbury's
Metro Group
Carrefour
Best Buy
Kroger
H&amp;M
Wesfarmers
Ahold Del
Seven &amp;…",FALSE,0,NA,2019-05-04 15:12:35,FALSE,NA,"1124693310084407296",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","WlcherBlvdRgret",287,TRUE,FALSE,NA,NA
"My kind of fun: tomar pepa e ir al carrefour",FALSE,0,NA,2019-05-04 15:12:09,FALSE,NA,"1124693200785104898",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","coloradosinalma",0,FALSE,FALSE,NA,NA
"➡Latest Job Vacancies in Carrefour 2019
➡Click Here to Apply&gt;&gt;&gt;https://t.co/eCOcqzZthq
➡VISA + Ticket + Food + Acco… https://t.co/bOqO8loT1C",FALSE,0,NA,2019-05-04 15:07:40,TRUE,NA,"1124692071594569728",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","JobsatGulf",0,FALSE,FALSE,NA,NA
"@MustazaAli This is so called systematic robbery #carrefouruae #Carrefour #CustomerExperience",FALSE,0,"MustazaAli",2019-05-04 15:06:41,FALSE,"1124608231169503232","1124691822952030209","149952811","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Eftekharahamed",0,FALSE,FALSE,NA,NA
"RT @NorbertElekes: World’s largest retailers vs. Amazon

Sainsbury's
Metro Group
Carrefour
Best Buy
Kroger
H&amp;M
Wesfarmers
Ahold Del
Seven &amp;…",FALSE,0,NA,2019-05-04 15:03:44,FALSE,NA,"1124691083752091648",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","HaXanWoo",287,TRUE,FALSE,NA,NA
"RT @SchneiderUK: In a country famous for its markets and bazaars, retailer Carrefour Egypt found a competitive edge: #IoT cloud analytics a…",FALSE,0,NA,2019-05-04 15:01:11,FALSE,NA,"1124690441457340416",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SkhuluGroup",1,TRUE,FALSE,NA,NA
"In a country famous for its markets and bazaars, retailer Carrefour Egypt found a competitive edge: #IoT cloud anal… https://t.co/hJeZDpI5Ne",FALSE,3,NA,2019-05-04 15:00:27,TRUE,NA,"1124690256056467456",NA,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","SchneiderUK",1,FALSE,FALSE,NA,NA
"RT @TuAhorrillo: ¡Gana vales Amazon con carrefour!
ℹ️NFO⬇️
https://t.co/vMgC2uD8hx",FALSE,0,NA,2019-05-04 14:57:01,FALSE,NA,"1124689392025645056",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","CofreDelDinero",3,TRUE,FALSE,NA,NA
"Me showing up in a suit or a carrefour dress next year #prom",FALSE,1,NA,2019-05-04 14:53:38,FALSE,NA,"1124688541601157120",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","cosmicpanda868",0,FALSE,FALSE,NA,NA
"RT @NorbertElekes: World’s largest retailers vs. Amazon

Sainsbury's
Metro Group
Carrefour
Best Buy
Kroger
H&amp;M
Wesfarmers
Ahold Del
Seven &amp;…",FALSE,0,NA,2019-05-04 14:44:04,FALSE,NA,"1124686134200754176",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","christinep401",287,TRUE,FALSE,NA,NA
"RT @NorbertElekes: World’s largest retailers vs. Amazon

Sainsbury's
Metro Group
Carrefour
Best Buy
Kroger
H&amp;M
Wesfarmers
Ahold Del
Seven &amp;…",FALSE,0,NA,2019-05-04 14:42:47,FALSE,NA,"1124685809032912897",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","bowling23",287,TRUE,FALSE,NA,NA
"RT @NorbertElekes: World’s largest retailers vs. Amazon

Sainsbury's
Metro Group
Carrefour
Best Buy
Kroger
H&amp;M
Wesfarmers
Ahold Del
Seven &amp;…",FALSE,0,NA,2019-05-04 14:41:11,FALSE,NA,"1124685408468705281",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Peaceful_Rule",287,TRUE,FALSE,NA,NA
"RT @NorbertElekes: World’s largest retailers vs. Amazon

Sainsbury's
Metro Group
Carrefour
Best Buy
Kroger
H&amp;M
Wesfarmers
Ahold Del
Seven &amp;…",FALSE,0,NA,2019-05-04 14:35:19,FALSE,NA,"1124683932715372545",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JCBRAVO7",287,TRUE,FALSE,NA,NA
"RT @NorbertElekes: World’s largest retailers vs. Amazon

Sainsbury's
Metro Group
Carrefour
Best Buy
Kroger
H&amp;M
Wesfarmers
Ahold Del
Seven &amp;…",FALSE,0,NA,2019-05-04 14:34:33,FALSE,NA,"1124683740184174592",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mvr24k",287,TRUE,FALSE,NA,NA
"RT @NorbertElekes: World’s largest retailers vs. Amazon

Sainsbury's
Metro Group
Carrefour
Best Buy
Kroger
H&amp;M
Wesfarmers
Ahold Del
Seven &amp;…",FALSE,0,NA,2019-05-04 14:33:47,FALSE,NA,"1124683543987154944",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ivan_abarca",287,TRUE,FALSE,NA,NA
