"id","name","author","title","description","url","urlToImage","publishedAt","content"
"the-new-york-times","The New York Times","ALEXANDER BURNS","Pelosi Tells Democratic Allies Party Will Make Big Gains in Midterms","The House Minority Leader, speaking at a luncheon on Election Day, also warned that President Trump might try to assert the election was “rigged.’’","https://www.nytimes.com/2018/11/06/us/politics/pelosi-midterms-gains-predictions.html","https://static01.nyt.com/images/2018/11/07/us/politics/07pelosi/07pelosi-facebookJumbo.jpg","2018-11-06T22:19:18Z","That supremely optimistic outlook on the night reflects just how high Democratic hopes have risen for a takeover in the House, and one person who attended the event expressed surprise at just how far Ms. Pelosi went in the direction of predicting a robust vic… [+1234 chars]"
"techcrunch","TechCrunch","Jon Russell","Facebook still isn’t taking Myanmar seriously","Facebook picked election evening in the U.S. to release a major report on its role in Myanmar, where it is widely accused of failing to prevent its social network from being used to incite genocide. The situation is arguably more severe that alleged Russia-ba…","http://techcrunch.com/2018/11/06/facebook-still-isnt-taking-myanmar-seriously/","https://techcrunch.com/wp-content/uploads/2018/11/myanmar.jpg?w=750","2018-11-06T14:47:58Z","Facebook picked election evening in the U.S. to release a major report on its role in Myanmar, where it is widely accused of failing to prevent its social network from being used to incite genocide. The situation is arguably more severe that alleged Russia-ba… [+9238 chars]"
"the-new-york-times","The New York Times","THE NEW YORK TIMES","Your Election Night Cheat Sheet","Tuesday night is going to be busy. Here’s how to stay a step ahead of the curve.","https://www.nytimes.com/2018/11/06/us/politics/election-night-guide.html","https://static01.nyt.com/images/2018/11/07/us/politics/07cheatersguide2/07cheatersguide2-facebookJumbo.jpg","2018-11-06T20:03:20Z","If Luria wins, its a STRONG sign of a Democratic night. Polls close at 7 p.m. Could be a few hours before a clear result. Neither is an incumbent. If Spano wins, its a MODEST sign of a Republican night. If Carlson wins, its a STRONG sign of a Democratic night… [+302 chars]"
NA,"Lifehacker.com","Aimée Lutkin","Order Free Pizza for Your Polling Place","Happy election day! Everybody is hungry for democracy, which means they’re probably hungry for literal food, too. The voting lines this evening will be long and you might need sustenance. Why not order some pizza? You won’t even have to pay for it! Read more.…","https://lifehacker.com/order-free-pizza-for-your-polling-place-1830253531","https://i.kinja-img.com/gawker-media/image/upload/s--FYqFD5Ts--/c_fill,fl_progressive,g_center,h_900,q_80,w_1600/dat4tyvmib506s3txa5w.jpg","2018-11-06T18:30:00Z","Happy election day! Everybody is hungry for democracy, which means theyre probably hungry for literal food, too. The voting lines this evening will be long and you might need sustenance. Why not order some pizza? You wont even have to pay for it! Pizza is as … [+895 chars]"
NA,"Gizmodo.com","Matt Novak","How to Watch the Midterm Election Coverage Live on YouTube, Facebook, VR, and More","Today is Election Day in America, and it’s probably going to be a very long night as the results come in from across the country. If you’re interested in watching the 2018 midterm election coverage there are plenty of options available online, no cable requir…","https://gizmodo.com/how-to-watch-the-midterm-election-coverage-live-on-yout-1830222190","https://i.kinja-img.com/gawker-media/image/upload/s--6DalD9Ri--/c_fill,fl_progressive,g_center,h_900,q_80,w_1600/x38ivrmrlsahzzjd7cgr.jpg","2018-11-06T11:00:00Z","Today is Election Day in America, and its probably going to be a very long night as the results come in from across the country. If youre interested in watching the 2018 midterm election coverage there are plenty of options available online, no cable required… [+1602 chars]"
NA,"Lifehacker.com","Alicia Adamczyk","How to Watch the Midterm Results Without Cable","Happy Election Day, America. The 2018 midterm elections are here, and if you want to follow along on something a bit more reputable than social media, news orgs are dropping paywalls and allowing people to watch results without cable logins. Read more...","https://lifehacker.com/how-to-watch-the-midterm-results-without-cable-1830253491","https://i.kinja-img.com/gawker-media/image/upload/s--Gp9g1tp6--/c_fill,fl_progressive,g_center,h_900,q_80,w_1600/vpz11fib67glropmbl35.jpg","2018-11-06T16:45:00Z","Happy Election Day, America. The 2018 midterm elections are here, and if you want to follow along on something a bit more reputable than social media, news orgs are dropping paywalls and allowing people to watch results without cable logins. The final polls w… [+1635 chars]"
"bbc-news","BBC News","https://www.facebook.com/bbcnews","US mid-term election results 2018","A third of the Senate is up for grabs, as well as every seat in the House of Representatives, see results here as they are published.","https://www.bbc.co.uk/news/world-us-canada-46076389","https://ichef.bbci.co.uk/news/1024/branded_news/6D60/production/_104200082_us_midterms_index_promo_976_v3.jpg","2018-11-06T12:06:05Z","Voting is underway as Americans elect 35 senators in 33 states, as well as all 435 representatives. The Republican Party currently control both the Senate and the House of Representatives. Click on the box below for detailed results as they come in, provided … [+304 chars]"
NA,"Gizmodo.com","Rhett Jones, Brian Kahn, and Yessenia Funes","The Big Votes We'll Be Watching on Election Day","Tuesday, November 6th, Americans will head to the ballot box to exercise their civic duty and put our weird little democratic experiment through all new tests that we’ll debate for the next two years. We’ll be tracking numerous races and ballot measures that …","https://gizmodo.com/the-big-votes-well-be-watching-on-election-day-1830234490","https://i.kinja-img.com/gawker-media/image/upload/s--HayzoeQO--/c_fill,fl_progressive,g_center,h_900,q_80,w_1600/ytjjoq1hbghuplakq5zf.jpg","2018-11-06T00:19:00Z","Tuesday, November 6th, Americans will head to the ballot box to exercise their civic duty and put our weird little democratic experiment through all new tests that well debate for the next two years. Well be tracking numerous races and ballot measures that ha… [+9556 chars]"
"the-new-york-times","The New York Times","JEAN RUTTER and STEPHEN REISS","Election Day, Amazon, Iraq Graves: Your Tuesday Evening Briefing","Here’s what you need to know at the end of the day.","https://www.nytimes.com/2018/11/06/briefing/election-day-amazon-iraq-graves.html","https://static01.nyt.com/images/2018/11/06/briefing/06briefing-evening-promo/06briefing-evening-promo-facebookJumbo.jpg","2018-11-06T23:14:20Z","10. Finally, if the latest news cycle has you wanting to send your thoughts to far-off destinations, we can suggest a few. Lose yourself in Tiny Love Stories, five reader-submitted epics told in under 100 words. Relax with a CBD cocktail at a Queens spot clai… [+693 chars]"
"the-new-york-times","The New York Times","DAVID LEONHARDT","How to Follow the Election, in Eight Steps","Including a handy tip sheet for Congress, state races and the big ballot initiatives.","https://www.nytimes.com/2018/11/06/opinion/midterm-elections-house-senate-governor.html","https://static01.nyt.com/images/2018/11/06/opinion/06leonhardt-newsletter/06leonhardt-newsletter-facebookJumbo.jpg","2018-11-06T13:44:59Z","The best place to watch the results will be the dashboards created by my colleagues from The Times newsroom. Theyll be analyzing the returns and producing geographically adjusted results that are much more meaningful than the raw vote counts that still domina… [+2158 chars]"
